,cenx,ceny,ella,ellb,ellt,ellr,flx_iso,flx_err,collide
0,6371.4316,249.7466,24.826,8.929999999999998,-73.23,18.742,9.403118000000001,1.3152059999999999,-1
1,6248.0005,291.9548,43.723,20.525,72.79999999999998,-68.822,0.9462924,1.041999,-1
2,6129.7061,198.6401,60.807,21.789,-79.26,-172.307,2.314288,0.8641179999999999,-1
3,6614.0068,180.8126,18.24,7.527999999999999,86.65999999999998,20.78,0.29977299999999996,0.6791526,-1
4,6156.1577,128.2237,14.127,5.189,-78.59,22.203,0.2275228,0.6763276,-1
5,6717.5981,41.8861,9.4,3.179,-77.29,13.855,0.1979951,0.3782512,-1
6,6223.5859,32.6964,3.227,2.193,77.23999999999998,14.41,0.1402277,0.2645194,-1
7,6473.5513,113.6015,10.793,6.959,-73.0,14.449,0.2614652,0.4566388,-1
8,5993.3726,452.7561,19.318,7.057,87.62,14.088,1.218247,0.8844248999999998,-1
9,6602.709,166.1171,7.057,4.329,-63.55,13.657,0.2457173,0.3731551,-1
10,6052.1289,282.894,16.472,6.715,86.11,5.888,0.243465,0.6958618000000001,-1
11,6426.75,260.3407,7.936,7.175,86.42,9.795000000000002,1.036497,0.4872497,-1
12,5941.168,461.2302,18.948,8.186999999999998,87.59999999999998,14.86,4.243696,1.178987,-1
13,6139.8389,348.8845,15.52,9.406,-43.43,12.47,8.206061999999998,0.9283992,-1
14,6410.832,262.9578,11.844,7.324,70.33,14.398,0.8505041,0.5468346000000001,-1
15,6273.6758,179.6053,5.774,3.736,49.54,7.774,0.29234269999999996,0.3342812,-1
16,6405.0767,318.7274,14.953,8.072,-80.83,14.926,0.8574404999999999,0.7560420999999999,-1
17,6098.2563,330.3149,16.138,5.907,-79.46,14.276,5.667806,0.732896,-1
18,6119.3345,345.7753,16.576,7.259999999999998,88.32,13.659,7.592798,0.7587996999999999,-1
19,6312.6919,214.6851,6.54,3.112,74.96,9.145,0.18002289999999999,0.312761,-1
20,6606.3442,221.418,7.578999999999998,4.43,87.37,10.176,0.2626404,0.3651395,-1
21,6088.1094,234.0381,8.043,6.431,12.99,9.136,0.343789,0.4900991,-1
22,6121.0244,262.7737,10.485,3.666,-63.79,-14.613,1.024378,0.3717532,-1
23,6189.9497,226.7494,4.935,3.698,-38.33,5.914,1.2269519999999998,0.28662590000000004,-1
24,6585.1714,273.4514,9.096,3.593,-86.93,12.457,0.2535752,0.4057794,-1
25,6138.7793,253.4711,11.91,4.39,-21.34,-0.231,2.254718,0.4562575,-1
26,6321.4512,322.4897,14.626,7.623999999999999,28.3,7.905,0.490935,0.4775074,-1
27,6398.1587,290.3558,10.659,6.29,44.3,13.711,2.117931,0.5157107,-1
28,6162.8813,244.7637,5.774,3.563,45.22,8.893,2.842525,0.30601,-1
29,6380.6763,256.224,5.86,2.926,83.45,6.249,7.31038,0.2530861,-1
30,6475.2095,335.8251,9.998,6.025,69.23,16.433,0.4203825,0.626634,-1
31,6475.2822,300.0158,7.332,5.754,-43.5,14.841,0.2877676,0.4712699,-1
32,6185.543,252.1795,3.406,1.958,36.96,5.594,2.890899,0.1647808,-1
33,6300.0576,281.9409,4.994,2.503,-83.92,7.316,0.2860298,0.2592018,-1
34,6061.1289,318.8866,8.194,3.219,87.62999999999998,3.467,0.32454370000000005,0.3617873,-1
35,6198.3999,340.8299,13.744,10.225,-15.75,12.296,0.7786495999999999,0.5987948,-1
36,6318.3828,301.895,5.005,4.207,-35.55,6.805,0.3869206,0.3037263,-1
37,6109.9248,321.1378,5.927,2.572,89.43,6.442,7.63866,0.2530861,-1
38,6047.1802,325.2652,5.627,3.93,43.63,4.044,0.1645773,0.3199139,-1
39,6500.7539,338.0645,5.0,4.96,11.89,12.969,0.2641292,0.3425109,-1
40,6023.9526,352.2845,8.891999999999998,4.796,-26.69,10.665,0.28439889999999995,0.465697,-1
41,5915.5928,371.6858,6.852,3.356,80.84999999999998,23.1,0.249246,0.4074915,-1
42,5959.4565,371.8446,8.920999999999998,5.909,-62.85,14.032,0.2553527,0.4697903,-1
43,6156.9482,366.9963,10.496,4.515,-11.89,9.401,4.193989,0.5430016,-1
44,5972.7212,402.6082,10.248,5.853,51.91,9.325,0.3601106,0.5234156999999999,-1
45,6125.3135,412.5611,9.504,4.35,-80.11,7.258,0.2718677,0.4415231,-1
46,5992.5845,404.3052,8.643,4.026,69.85,10.479,0.36016960000000003,0.3828252,-1
47,6147.0195,412.0958,9.855,6.728,-75.11,-39.643,0.2874482,0.5423602000000001,-1
48,6191.6226,357.926,7.622,3.038,10.79,9.02,0.7268825999999999,0.3014253,-1
49,7030.1309,700.8622,25.223,11.318,-74.57,18.367,5.775968000000001,1.49017,0
50,7230.5762,374.4398,5.93,3.018,-41.59,24.574,0.15346620000000002,0.2773675,-1
51,6205.5259,503.4682,6.436,3.717,-63.98,15.073,0.1933493,0.3698756,-1
52,6076.1611,439.4782,4.043,1.97,-76.97,9.528,0.1402249,0.1902725,-1
53,6395.209,516.7315,5.531,2.645,77.07,15.38,0.14831359999999996,0.2955945,-1
54,5915.7886,578.2365,10.512,5.377,-72.68999999999998,22.023,0.216147,0.6114509,-1
55,6174.7939,550.9435,6.179,4.279,-71.05,13.161,0.1837568,0.338935,-1
56,7179.5898,550.8412,3.498,2.565,-12.97,10.264,0.1509446,0.2043855,-1
57,7202.7979,655.5363,8.669,4.131,-82.82,17.433,0.2155743,0.4709005,-1
58,7073.292,719.9811,15.995,7.335,-28.52,14.289,1.1772760000000002,0.8132728,-1
59,6941.0894,638.7028,4.842,2.248,-13.09,10.967,0.1525698,0.2223328,-1
60,7138.1489,708.4798,7.038,5.172,87.23999999999998,8.175,0.2119799,0.3726884,-1
61,7165.1567,695.348,5.37,3.546,89.65999999999998,6.113,0.1904708,0.2985241,-1
62,7059.8467,776.7839,7.317999999999999,5.84,47.21,11.283,0.1960164,0.4558759,-1
63,7031.6855,740.3279999999999,4.186,2.823,12.920000000000003,4.892,0.9141927,0.2135478,-1
64,7052.2231,740.4989,4.489,2.74,-21.72,5.117,0.7875809,0.2285099,-1
65,2065.1868,1102.3018,12.138000000000003,5.419,-46.0,23.947,0.2230387,0.6346379999999999,-1
66,2261.0557,1132.733,9.717,5.693,-43.9,12.549,0.2597765,0.4701607,-1
67,2185.7009,1159.0664,10.703,7.075,-27.39,64.218,0.2733943,0.5768838,-1
68,2241.2083,1141.6464,7.428,5.228,25.35,10.734000000000002,0.2773945,0.4205245,-1
69,2212.4705,1149.5865,7.889999999999999,6.135,-6.68,14.331,0.3471478,0.4608126,-1
70,2285.4551,1122.3751,7.127,3.182,-9.96,11.722,0.187834,0.313317,-1
71,2097.877,1191.5071,18.17,6.645,-14.78,35.429,0.35736840000000003,0.8395991,-1
72,2159.7214,1186.4658,6.552,4.977,73.54999999999998,25.273,0.1876954,0.4764126,-1
73,2053.8418,1213.843,12.446,5.863,-38.46,17.084,0.30291660000000004,0.6014052,-1
74,2224.7205,1146.1393,2.749,1.926,-45.9,3.568,0.2889767,0.14452240000000002,-1
75,4902.4536,1215.255,8.468,7.02,-73.46,13.628,0.2452082,0.5349280000000001,-1
76,1945.9983,1284.4991000000002,11.216,5.112,-83.03,22.72,0.2021257,0.6040044,-1
77,4563.1748,1706.9784,6.093,5.149,-26.51,9.844,0.2562583,0.3841867,14
78,3849.207,1862.1393,5.86,3.465,-86.26,7.264999999999999,1.310055,0.4180337,-1
79,3320.7593,2085.3472,3.588,2.034,-84.73999999999998,4.675,0.3291641,0.1974551,-1
80,4141.7109,2383.6228,14.801,6.035,78.81,15.416,0.3499697,0.6428132,-1
81,6604.9917,2693.9622,19.199,9.8,-36.46,18.495,0.95467,0.9812631,25
82,6543.1836,2706.4119,22.065,7.966999999999999,-25.04,12.779000000000003,0.5686825,0.6920996,28
83,6618.7417,2818.53,23.748,10.025,25.6,8.136,0.9824263,0.9351241,34
84,6657.25,2688.917,16.998,7.947,-23.71,19.957,0.5015128,0.7829592,27
85,6530.5024,2781.001,9.08,8.726,42.14,12.079,1.0147979999999999,0.5609752,30
86,6539.8037,2750.5027,12.227,4.777,-43.1,9.679,0.8217628999999999,0.4957489,31
87,6589.1704,2699.2744,6.299,2.183,-39.62,5.525,0.7370128,0.2207615,25
88,6512.2529,2775.1125,9.992,7.987,12.8,12.751,1.237944,0.5929528000000001,30
89,6475.1924,2837.9634,14.91,8.026,-67.78,14.77,1.536726,0.8492866,42
90,6485.8257,2800.6885,10.995,7.605,-70.98,12.427,1.714637,0.6463237,37
91,6528.4561,2760.7366,12.735,4.593,22.82,11.526,0.8183646,0.4753153,29
92,6641.2837,2882.0361,23.524,11.654000000000003,40.14,-4.101,0.8437103,0.8003286,43
93,4871.3345,2939.0369,16.123999999999995,10.297,5.48,15.133,5.2943,1.2153349999999998,44
94,6500.2095,2802.844,9.299,5.386,-27.54,11.191,1.881007,0.4785997,33
95,6579.063,2794.251,6.904,3.182,59.81,9.501,0.6348646,0.310527,32
96,6596.3433,2810.0339,10.865,4.036,5.91,11.497,0.6576899,0.3900319,34
97,6572.5708,2865.7173,9.441,8.474999999999998,-15.84,11.333,1.354932,0.6332652,41
98,6526.0977,2811.8745,6.371,2.664,71.91,5.281,0.8268706999999998,0.2612086,-1
99,6519.1816,2859.4897,9.219,4.227,86.59999999999998,12.201,0.8840949,0.472745,46
100,6474.9971,2881.5034,10.307,4.371,-78.26999999999998,12.138000000000003,1.461013,0.4822227,36
101,6703.2656,2899.1685,13.91,5.133,59.43,9.952000000000002,0.467795,0.5061722,-1
102,6675.5034,2941.0725,11.607,6.915,-67.36,12.542,1.4383519999999999,0.6202126,48
103,6428.5786,3024.77,20.107,9.191,-77.4,21.191,1.065444,0.8721377999999999,66
104,6688.5801,2912.344,10.574,5.058,71.96,11.419,0.7930416999999998,0.4645744,49
105,6462.561,2951.356,11.798,4.647,-75.21,10.365,1.066125,0.5372008,53
106,6627.7485,2968.2407,16.893,6.042,-89.26999999999998,4.697,0.610642,0.4473973,62
107,6499.0796,2913.4443,8.173999999999998,6.268,28.53,6.993,1.334654,0.5150352,54
