G95_ID,G95_RA,G95_DEC,G95_A,G95_B,G95_T,G95_SPEAK,G95_SISO,G95_MORPH,G95_X,G95_Y
Al,17:44:09.65,-28:21:57.3,1200.0,1200.0,0,0.032,1.4,2,4877,4947
A2,17:44:09.71,-28:21:53.2,27.999999999999996,27.999999999999996,0,0.014,0.19,3,4862,5029
B,17:44:10.11,-28:22:00.6,18.0,13.999999999999998,90,0.060,0.33,3,4755,4882
B9.89,17:44:09.89,-28:22:03.5,10.0,8.0,-85,0.009,0.OZ5,1,4813,4823
B9.96,17:44:09.96,-28:22:07.7,10.0,10.0,-73,0.008,0.029,1,4794,4739
B9.99,17:44:09.99,-28:22:04.5,13.999999999999998,11.999999999999998,62,0.010,0.07,1,4787,4803
Bl0.06,17:44:10.06,-28:21:59.0,8.0,5.999999999999999,67,0.013,0.028,1,4769,4914
Bl0.10,17:44:10.10,-28:21:59.8,10.0,8.0,90,0.010,0.013,1,4758,4898
C,17:44:10.16,-28:22:16.2,10.0,22.0,0,0.Q15,0.18,3,4741,4570
D,17:44:10.25,-28:22:10.5,13.999999999999998,13.999999999999998,0,0.025,0.14,5,4717,4684
E,17:44:10.29,-28:22:06.5,27.999999999999996,27.999999999999996,0,0.058,0.40,3,4707,4764
Fl,17:44:10.31,-28:22:01.7,11.999999999999998,8.0,63,0.130,0.6,1,4703,4860
F2,17:44:10.36,-28:22:01.3,10.0,8.0,81,0.090,0.23,1,4689,4868
F3,17:44:10.37,-28:22:02.4,10.0,10.0,78,0.220,0.9,1,4687,4846
F4,17:44:10.41,-28:22:01.9,8.0,8.0,-77,0.110,0.24,1,4676,4856
Fl0.27,17:44:10.27,-28:22:02.9,11.999999999999998,10.0,80,0.008,0.037,1,4713,4836
Fl0.30,17:44:10.30,-28:22:00.8,10.0,8.0,-21,0.005,0.017,1,4705,4878
Fl0.303,17:44:10.303,-28:22:01.4,8.0,5.999999999999999,-33,0.080,0.15,1,4704,4866
Fl0.318,17:44:10.318,-28:22:00.0,20.0,11.999999999999998,1,0.009,0.09,5,4701,4894
Fl0.32,17:44:10.32,-28:21:57.8,13.999999999999998,10.0,-68,0.007,0.040,1,4700,4938
Fl0.33,17:44:10.33,-28:22:03.7,8.0,8.0,73,0.009,0.020,1,4697,4820
Fl0.35,17:44:10.35,-28:22:04.4,8.0,8.0,5,0.008,0.019,1,4692,4806
Fl0.37,17:44:10.37,-28:22:03.6,5.999999999999999,5.999999999999999,0,0.040,0.05,4,4686,4822
Fl0.39,17:44:10.39,-28:22:04.2,5.999999999999999,5.999999999999999,0,0.Q18,0.022,4,4681,4810
Fl0.44,17:44:10.44,-28:22:04.0,11.999999999999998,10.0,66,0.007,0.037,1,4668,4814
G,17:44:10.48,-28:22:00.7,8.0,5.999999999999999,29,0.100,0.19,1,4658,4880
Gl0.44,17:44:10.44,-28:22:00.9,10.0,5.999999999999999,55,0.011,0.024,1,4668,4876
Gl0.47,17:44:10.47,-28:22:00.0,10.0,8.0,12,0.009,0.031,1,4660,4894
H,17:44:10.64,-28:22:43.0,27.999999999999996,27.999999999999996,0,0.105,0.9,3,4611,4034
I,17:44:10.57,-28:22:02.9,20.0,60.0,0,0.056,5.100,3,4634,4836
I10.49,17:44:10.49,-28:22:02.2,13.999999999999998,11.999999999999998,-88,0.007,0.040,1,4655,4850
I10.52,17:44:10.52,-28:22:05.7,5.999999999999999,5.999999999999999,0,0.022,0.030,4,4647,4780
J,17:44:10.57,-28:21:54.2,120.0,120.0,0,0.009,0.8,3,4635,5010
K9.69,17:44:09.69,-28:21:24.1,10.0,10.0,0,0.003,0.010,1,4870,5611
Kl,17:44:10.00,-28:21:18.3,11.999999999999998,10.0,21,0.040,0.24,3,4789,5727
K2,17:44:10.09,-28:21:16.1,10.0,5.999999999999999,-16,0.OZ5,0.06,1,4766,5772
K3,17:44:10.11,-28:21:14.8,5.999999999999999,5.999999999999999,112,0.100,0.19,1,4760,5798
K4,17:44:10.24,-28:21:02.4,20.0,20.0,90,0.030,0.40,2,4728,6046
K5,17:44:10.35,-28:21:15.2,240.0,40.0,0,0.020,3.6,2,4697,5790
K6,17:44:10.57,-28:21:09.8,180.0,180.0,0,0.019,5.5,2,4640,5898
L,17:44:12.98,-28:20:54.6,100.0,100.0,0,0.029,2.3,2,4005,6206
L13.30,17:44:13.30,-28:20:53.1,26.0,26.0,0,0.008,0.06,5,3921,6236
R,17:44:16.68,-28:21:03.3,140.0,140.0,0,0.100,1.600,5,3027,6037
X,17:44:07.57,-28:21:01.2,13.999999999999998,13.999999999999998,0,0.010,0.030,1,5433,6066
X8.33,17:44:08.33,-28:21:04.4,8.0,8.0,0,0.009,0.016,1,5232,6003
y,17:44:08.85,-28:21:51.8,26.0,26.0,0,0.006,0.12,1,5089,5056
z,17:44:08.89,-28:21:42.4,90.0,90.0,0,0.004,0.39,1,5079,5244
Zl0.24,17:44:10.24,-28:21:38.9,5.999999999999999,5.999999999999999,0,0.033,0.036,4,4723,5316
BB,17:44:12.56,-28:21:15.3,160.0,160.0,0,0.013,0.27,5,4114,5791
