G95_ID            G95_RA          G95_DEC     G95_A G95_B G95_T   G95_SPEAK G95_SISO G95_MORPH 
Al                17:44:09.65     -28:21:57.3    60   60    0     0.032   1.4    2                                                                                                 
A2                17:44:09.71     -28:21:53.2    1.4  1.4   0     0.014   0.19   3                                                                                                
B                 17:44:10.11     -28:22:00.6    0.9  0.7   90    0.060   0.33   3                                                                                                        
B9.89             17:44:09.89     -28:22:03.5    0.5  0.4   -85   0.009   0.OZ5  1                                                                                                           
B9.96             17:44:09.96     -28:22:07.7    0.5  0.5   -73   0.008   0.029  1                                                                                                           
B9.99             17:44:09.99     -28:22:04.5    0.7  0.6   62    0.010   0.07   1                                                                                                        
Bl0.06            17:44:10.06     -28:21:59.0    0.4  0.3   67    0.013   0.028  1                                                                                                          
Bl0.10            17:44:10.10     -28:21:59.8    0.5  0.4   90    0.010   0.013  1                                                                                                          
C                 17:44:10.16     -28:22:16.2    0.5  1.1   0     0.Q15   0.18   3                                                                                                     
D                 17:44:10.25     -28:22:10.5    0.7  0.7   0     0.025   0.14   5                                                                                                
E                 17:44:10.29     -28:22:06.5    1.4  1.4   0     0.058   0.40   3                                                                                               
Fl                17:44:10.31     -28:22:01.7    0.6  0.4   63    0.130   0.6    1                                                                                                        
F2                17:44:10.36     -28:22:01.3    0.5  0.4   81    0.090   0.23   1                                                                                                        
F3                17:44:10.37     -28:22:02.4    0.5  0.5   78    0.220   0.9    1                                                                                                       
F4                17:44:10.41     -28:22:01.9    0.4  0.4   -77   0.110   0.24   1                                                                                                          
Fl0.27            17:44:10.27     -28:22:02.9    0.6  0.5   80    0.008   0.037  1                                                                                                          
Fl0.30            17:44:10.30     -28:22:00.8    0.5  0.4   -21   0.005   0.017  1                                                                                                          
Fl0.303           17:44:10.303    -28:22:01.4    0.4  0.3   -33   0.080   0.15   1                                                                                                           
Fl0.318           17:44:10.318    -28:22:00.0    1.0  0.6   1     0.009   0.09   5                                                                                                        
Fl0.32            17:44:10.32     -28:21:57.8    0.7  0.5   -68   0.007   0.040  1                                                                                                           
Fl0.33            17:44:10.33     -28:22:03.7    0.4  0.4   73    0.009   0.020  1                                                                                                           
Fl0.35            17:44:10.35     -28:22:04.4    0.4  0.4   5     0.008   0.019  1                                                                                                        
Fl0.37            17:44:10.37     -28:22:03.6    0.3  0.3   0     0.040   0.05   4                                                                                                
Fl0.39            17:44:10.39     -28:22:04.2    0.3  0.3   0     0.Q18   0.022  4                                                                                                 
Fl0.44            17:44:10.44     -28:22:04.0    0.6  0.5   66    0.007   0.037  1                                                                                                         
G                 17:44:10.48     -28:22:00.7    0.4  0.3   29    0.100   0.19   1                                                                                                        
Gl0.44            17:44:10.44     -28:22:00.9    0.5  0.3   55    0.011   0.024  1                                                                                                         
Gl0.47            17:44:10.47     -28:22:00.0    0.5  0.4   12    0.009   0.031  1                                                                                                         
H                 17:44:10.64     -28:22:43.0    1.4  1.4   0     0.105   0.9    3                                                                                              
I                 17:44:10.57     -28:22:02.9    1    3     0     0.056   5.100  3                                                                                                  
I10.49            17:44:10.49     -28:22:02.2    0.7  0.6   -88   0.007   0.040  1                                                                                                           
I10.52            17:44:10.52     -28:22:05.7    0.3  0.3   0     0.022   0.030  4                                                                                                
J                 17:44:10.57     -28:21:54.2    6    6     0     0.009   0.8    3                                                                                             
K9.69             17:44:09.69     -28:21:24.1    0.5  0.5   0     0.003   0.010  1                                                                                               
Kl                17:44:10.00     -28:21:18.3    0.6  0.5   21    0.040   0.24   3                                                                                                        
K2                17:44:10.09     -28:21:16.1    0.5  0.3   -16   0.OZ5   0.06   1                                                                                                         
K3                17:44:10.11     -28:21:14.8    0.3  0.3   112   0.100   0.19   1                                                                                                          
K4                17:44:10.24     -28:21:02.4    1.0  1.0   90    0.030   0.40   2                                                                                                        
K5                17:44:10.35     -28:21:15.2    12   2     0     0.020   3.6    2                                                                                                 
K6                17:44:10.57     -28:21:09.8    9    9     0     0.019   5.5    2                                                                                            
L                 17:44:12.98     -28:20:54.6    5    5     0     0.029   2.3    2                                                                                            
L13.30            17:44:13.30     -28:20:53.1    1.3  1.3   0     0.008   0.06   5                                                                                               
R                 17:44:16.68     -28:21:03.3    7    7     0     0.100   1.600  5                                                                                              
X                 17:44:07.57     -28:21:01.2    0.7  0.7   0     0.010   0.030  1                                                                                                
X8.33             17:44:08.33     -28:21:04.4    0.4  0.4   0     0.009   0.016  1                                                                                                
y                 17:44:08.85     -28:21:51.8    1.3  1.3   0     0.006   0.12   1                                                                                                
z                 17:44:08.89     -28:21:42.4    4.5  4.5   0     0.004   0.39   1                                                                                               
Zl0.24            17:44:10.24     -28:21:38.9    0.3  0.3   0     0.033   0.036  4                                                                                                
BB                17:44:12.56     -28:21:15.3    8    8     0     0.013   0.27   5                                                                                             
