,X_IMAGE,Y_IMAGE,FLUX_RADIUS,FLUX_ISO,FLUXERR_ISO,FLAGS,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,FLUX_PEAK,FLUXERR_PEAK
0,5941.0088,462.2502,14.825,-0.04328563415001594,-1.3323847071358483e-05,3,20.17,9.717,87.31,5938,462,266.8143317,-28.4455405,0.009246419183909893,0.00010648021270753816
1,6375.3584,248.8538,19.595,-0.1392663397555621,-1.7951429429407156e-05,3,24.654,12.743,-76.98,6372,249,266.8074756,-28.4484978,0.02098969742655754,0.00022651907056570053
2,6247.063,291.2117,6.259,-0.006693478343124639,-8.77712439696468e-06,3,21.997,15.51,-84.93,6219,313,266.8098926,-28.4476093,0.0029501409735530615,0.0002209322847193107
3,1185.3032,29.7569,12.742,-7.681502838592034e-05,-1.6197786345678324e-06,0,3.894,1.611,24.41,1186,30,266.8893972,-28.4515298,0.0004010746779385954,2.723245052038692e-05
4,6473.7017,159.5566,14.696,-0.004768465369262892,-7.058130241229266e-06,3,14.505,6.275,40.68,6476,162,266.8058324,-28.4497058,0.0018568845698609948,0.00015995072317309678
5,5993.6313,455.3215,15.537,-0.012633479583682598,-9.495064806992519e-06,3,20.823,7.749,86.6,5992,461,266.8134787,-28.4455543,0.0030644736252725124,0.00010648021270753816
6,6176.5967,248.6882,13.202,-0.027987048845963258,-9.116203454016742e-06,3,18.096,8.611,8.78,6183,251,266.8104611,-28.4484705,0.008137342520058155,0.00017516488151159137
7,6169.6914,194.866,11.004,-0.0012113307003653044,-4.835656089990439e-06,19,15.157,4.931,43.27,6185,216,266.8104294,-28.4489566,0.0020519052632153034,0.00017516488151159137
8,6190.4839,227.8601,9.647,-0.005035448545366728,-3.92190510967975e-06,3,8.111,4.924,-46.92,6191,227,266.8103346,-28.4488038,0.003342954907566309,0.00017516488151159137
9,6335.4316,266.6248,7.485,-0.001344112076780884,-3.9552124687807e-06,3,10.495,3.636,-71.03,6335,268,266.8080601,-28.448234,0.0026077479124069214,0.00022651907056570053
